NCM;DESCRIÇÃO;ALÍQUOTA (%)
01.01;Cavalos, asininos e muares, vivos.;
01.02;Animais vivos da espécie bovina.;
01.03;Animais vivos da espécie suína.;
01.04;Animais vivos das espécies ovina e caprina.;
01.05;Galos, galinhas, patos, gansos, perus, peruas e galinhas-d'angola (pintadas), das espécies domésticas, vivos.;
01.06;Outros animais vivos.;
0101.2;- Cavalos:;
0101.21.00;-- Reprodutores de raça pura;NT
0101.29.00;-- Outros;NT
0101.30.00;- Asininos;NT
0101.90.00;- Outros;NT
0102.2;- Bovinos domésticos:;
0102.21;-- Reprodutores de raça pura;
0102.21.10;Prenhes ou com cria ao pé;NT
0102.21.90;Outros;NT
0102.29;-- Outros;
0102.29.1;Para reprodução;
0102.29.11;Prenhes ou com cria ao pé;NT
0102.29.19;Outros;NT
0102.29.90;Outros;NT
0102.3;- Búfalos:;
0102.31;-- Reprodutores de raça pura;
0102.31.10;Prenhes ou com cria ao pé;NT
0102.31.90;Outros;NT
0102.39;-- Outros;
0102.39.1;Para reprodução;
0102.39.11;Prenhes ou com cria ao pé;NT
0102.39.19;Outros;NT
0102.39.90;Outros;NT
0102.90.00;- Outros;NT
0103.10.00;- Reprodutores de raça pura;NT
0103.9;- Outros:;
0103.91.00;-- De peso inferior a 50 kg;NT
0103.92.00;-- De peso igual ou superior a 50 kg;NT
0104.10;- Ovinos;
0104.10.1;Reprodutores de raça pura;
0104.10.11;Prenhes ou com cria ao pé;NT
0104.10.19;Outros;NT
0104.10.90;Outros;NT
0104.20;- Caprinos;
0104.20.10;Reprodutores de raça pura;NT
0104.20.90;Outros;NT
0105.1;- De peso não superior a 185 g:;
0105.11;-- Galos e galinhas;
0105.11.10;De linhas puras ou híbridas, para reprodução;NT
0105.11.90;Outros;NT
0105.12.00;-- Peruas e perus;NT
0105.13.00;-- Patos;NT
0105.14.00;-- Gansos;NT
0105.15.00;-- Galinhas-d'angola (pintadas);NT
0105.9;- Outros:;
0105.94.00;-- Galos e galinhas;NT
0105.99.00;-- Outros;NT
0106.1;- Mamíferos:;
0106.11.00;-- Primatas;NT
0106.12.00;"-- Baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";NT
0106.13.00;-- Camelos e outros camelídeos (Camelidae);NT
0106.14.00;-- Coelhos e lebres;NT
0106.19.00;-- Outros;NT
0106.20.00;- Répteis (incluindo as serpentes e as tartarugas marinhas);NT
0106.3;- Aves:;
0106.31.00;-- Aves de rapina;NT
0106.32.00;-- Psitaciformes (incluindo os papagaios, os periquitos, as araras e as cacatuas);NT
0106.33;"-- Avestruzes; emus (Dromaius novaehollandiae)";
0106.33.10;Avestruzes (Struthio camelus), para reprodução;NT
0106.33.90;Outros;NT
0106.39.00;-- Outras;NT
0106.4;- Insetos:;
0106.41.00;-- Abelhas;NT
0106.49.00;-- Outros;NT
0106.90.00;- Outros;NT
02.01;Carnes de animais da espécie bovina, frescas ou refrigeradas.;
02.02;Carnes de animais da espécie bovina, congeladas.;
02.03;Carnes de animais da espécie suína, frescas, refrigeradas ou congeladas.;
02.04;Carnes de animais das espécies ovina ou caprina, frescas, refrigeradas ou congeladas.;
02.06;Miudezas comestíveis de animais das espécies bovina, suína, ovina, caprina, cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;
02.07;Carnes e miudezas, comestíveis, frescas, refrigeradas ou congeladas, das aves da posição 01.05.;
02.08;Outras carnes e miudezas comestíveis, frescas, refrigeradas ou congeladas.;
02.09;Toucinho sem partes magras, gorduras de porco e de aves, não fundidas nem extraídas de outro modo, frescos, refrigerados, congelados, salgados ou em salmoura, secos ou defumados.;
02.10;"Carnes e miudezas, comestíveis, salgadas ou em salmoura, secas ou defumadas; farinhas e pós, comestíveis, de carnes ou de miudezas.";
0201.10.00;- Carcaças e meias-carcaças;0
0201.20;- Outras peças não desossadas;
0201.20.10;Quartos dianteiros;0
0201.20.20;Quartos traseiros;0
0201.20.90;Outras;0
0201.30.00;- Desossadas;0
0202.10.00;- Carcaças e meias-carcaças;0
0202.20;- Outras peças não desossadas;
0202.20.10;Quartos dianteiros;0
0202.20.20;Quartos traseiros;0
0202.20.90;Outras;0
0202.30.00;- Desossadas;0
0203.1;- Frescas ou refrigeradas:;
0203.11.00;-- Carcaças e meias-carcaças;0
0203.12.00;-- Pernas, pás e respectivos pedaços, não desossados;0
0203.19.00;-- Outras;0
0203.2;- Congeladas:;
0203.21.00;-- Carcaças e meias-carcaças;0
0203.22.00;-- Pernas, pás e respectivos pedaços, não desossados;0
0203.29.00;-- Outras;0
0204.10.00;- Carcaças e meias-carcaças de cordeiro, frescas ou refrigeradas;0
0204.2;- Outras carnes de animais da espécie ovina, frescas ou refrigeradas:;
0204.21.00;-- Carcaças e meias-carcaças;0
0204.22.00;-- Outras peças não desossadas;0
0204.23.00;-- Desossadas;0
0204.30.00;- Carcaças e meias-carcaças de cordeiro, congeladas;0
0204.4;- Outras carnes de animais da espécie ovina, congeladas:;
0204.41.00;-- Carcaças e meias-carcaças;0
0204.42.00;-- Outras peças não desossadas;0
0204.43.00;-- Desossadas;0
0204.50.00;- Carnes de animais da espécie caprina;0
0205.00.00;Carnes de animais das espécies cavalar, asinina e muar, frescas, refrigeradas ou congeladas.;0
0206.10.00;- Da espécie bovina, frescas ou refrigeradas;0
0206.2;- Da espécie bovina, congeladas:;
0206.21.00;-- Línguas;0
0206.22.00;-- Fígados;0
0206.29;-- Outras;
0206.29.10;Rabos;0
0206.29.90;Outros;0
0206.30.00;- Da espécie suína, frescas ou refrigeradas;0
0206.4;- Da espécie suína, congeladas:;
0206.41.00;-- Fígados;0
0206.49.00;-- Outras;0
0206.80.00;- Outras, frescas ou refrigeradas;0
0206.90.00;- Outras, congeladas;0
0207.1;- De galos e de galinhas:;
0207.11.00;-- Não cortadas em pedaços, frescas ou refrigeradas;0
0207.12.00;-- Não cortadas em pedaços, congeladas;0
0207.13.00;-- Pedaços e miudezas, frescos ou refrigerados;0
0207.14.00;-- Pedaços e miudezas, congelados;0
0207.2;- De peruas e de perus:;
0207.24.00;-- Não cortadas em pedaços, frescas ou refrigeradas;0
0207.25.00;-- Não cortadas em pedaços, congeladas;0
0207.26.00;-- Pedaços e miudezas, frescos ou refrigerados;0
0207.27.00;-- Pedaços e miudezas, congelados;0
0207.4;- De patos:;
0207.41.00;-- Não cortadas em pedaços, frescas ou refrigeradas;0
0207.42.00;-- Não cortadas em pedaços, congeladas;0
0207.43.00;-- Fígados gordos (foies gras), frescos ou refrigerados;0
0207.44.00;-- Outras, frescas ou refrigeradas;0
0207.45.00;-- Outras, congeladas;0
0207.5;- De gansos:;
0207.51.00;-- Não cortadas em pedaços, frescas ou refrigeradas;0
0207.52.00;-- Não cortadas em pedaços, congeladas;0
0207.53.00;-- Fígados gordos (foies gras), frescos ou refrigerados;0
0207.54.00;-- Outras, frescas ou refrigeradas;0
0207.55.00;-- Outras, congeladas;0
0207.60.00;- De galinhas-d'angola (pintadas);0
0208.10.00;- De coelhos ou de lebres;0
0208.30.00;- De primatas;0
0208.40.00;"- De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";0
0208.50.00;- De répteis (incluindo as serpentes e as tartarugas marinhas);0
0208.60.00;- De camelos e de outros camelídeos (Camelidae);0
0208.90.00;- Outras;0
0209.10;- De porco;
0209.10.1;Toucinho;
0209.10.11;Fresco, refrigerado ou congelado;0
0209.10.19;Outros;0
0209.10.2;Gordura;
0209.10.21;Fresca, refrigerada ou congelada;0
0209.10.29;Outras;0
0209.90.00;- Outros;0
0210.1;- Carnes da espécie suína:;
0210.11.00;-- Pernas, pás e respectivos pedaços, não desossados;0
0210.12.00;-- Toucinhos entremeados e seus pedaços;0
0210.19.00;-- Outras;0
0210.20.00;- Carnes da espécie bovina;0
0210.9;- Outras, incluindo as farinhas e pós, comestíveis, de carnes ou de miudezas:;
0210.91.00;-- De primatas;0
0210.92.00;"-- De baleias, golfinhos e botos (mamíferos da ordem dos cetáceos); de peixes-boi (manatins) e dugongos (mamíferos da ordem dos sirênios); de otárias e focas, leões-marinhos e morsas (mamíferos da subordem dos pinípedes)";0
0210.93.00;-- De répteis (incluindo as serpentes e as tartarugas marinhas);0
0210.99.00;-- Outras;0
03.01;Peixes vivos.;
03.02;Peixes frescos ou refrigerados, exceto os filés de peixes e outra carne de peixes da posição 03.04.;
03.03;Peixes congelados, exceto os filés de peixes e outra carne de peixes da posição 03.04.;
03.04;Filés de peixes e outra carne de peixes (mesmo picada), frescos, refrigerados ou congelados.;
03.05;"Peixes secos, salgados ou em salmoura; peixes defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets, de peixe, próprios para alimentação humana.";
03.06;"Crustáceos, com ou sem carapaça, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; crustáceos, com ou sem carapaça, defumados, mesmo cozidos antes ou durante a defumação; crustáceos com carapaça, cozidos em água ou vapor, mesmo refrigerados, congelados, secos, salgados ou em salmoura; farinhas, pós e pellets de crustáceos, próprios para alimentação humana.";
03.07;"Moluscos, com ou sem concha, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; moluscos, com ou sem concha, defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets de moluscos, exceto crustáceos, próprios para alimentação humana.";
03.08;"Invertebrados aquáticos, exceto crustáceos e moluscos, vivos, frescos, refrigerados, congelados, secos, salgados ou em salmoura; invertebrados aquáticos, exceto crustáceos e moluscos, defumados, mesmo cozidos antes ou durante a defumação; farinhas, pós e pellets de invertebrados aquáticos, exceto crustáceos e moluscos, próprios para a alimentação humana.";
0301.1;- Peixes ornamentais:;
0301.11;-- De água doce;
0301.11.10;Aruanã (Osteoglossum bicirrhosum);NT
0301.11.90;Outros;NT
0301.19.00;-- Outros;NT
0301.9;- Outros peixes vivos:;
0301.91;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);
0301.91.10;Para reprodução;NT
0301.91.90;Outras;NT
0301.92;-- Enguias (Anguilla spp.);
0301.92.10;Para reprodução;NT
0301.92.90;Outras;NT
0301.93;-- Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus);
0301.93.10;Para reprodução;NT
0301.93.90;Outras;NT
0301.94;-- Atuns azuis (Thunnus thynnus, Thunnus orientalis);
0301.94.10;Para reprodução;NT
0301.94.90;Outras;NT
0301.95;-- Atum azul do Sul (Thunnus maccoyii);
0301.95.10;Para reprodução;NT
0301.95.90;Outros;NT
0301.99;-- Outros;
0301.99.1;Para reprodução;
0301.99.11;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";NT
0301.99.12;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);NT
0301.99.19;Outros;NT
0301.99.9;Outros;
0301.99.91;"Tilápias (Tilapia spp., Oreochromis spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";NT
0301.99.92;Esturjões (Acipenser baeri, Acipenser gueldenstaedtii, Acipenser persicus, Acipenser stellatus);NT
0301.99.99;Outros;NT
0302.1;- Salmonídeos, exceto fígados, ovas e sêmen:;
0302.11.00;-- Trutas (Salmo trutta, Oncorhynchus mykiss, Oncorhynchus clarki, Oncorhynchus aguabonita, Oncorhynchus gilae, Oncorhynchus apache e Oncorhynchus chrysogaster);0
0302.13.00;-- Salmões-do-pacífico (Oncorhynchus nerka, Oncorhynchus gorbuscha, Oncorhynchus keta, Oncorhynchus tschawytscha, Oncorhynchus kisutch, Oncorhynchus masou e Oncorhynchus rhodurus);0
0302.14.00;-- Salmão-do-atlântico (Salmo salar) e salmão-do-danúbio (Hucho hucho);0
0302.19.00;-- Outros;0
0302.2;- Peixes chatos (Pleuronectidae, Bothidae, Cynoglossidae, Soleidae, Scophthalmidae e Citharidae), exceto fígados, ovas e sêmen:;
0302.21.00;-- Linguados-gigantes (Reinhardtius hippoglossoides, Hippoglossus hippoglossus, Hippoglossus stenolepis);0
0302.22.00;-- Solha (Pleuronectes platessa);0
0302.23.00;-- Linguados (Solea spp.);0
0302.24.00;-- Pregado (Psetta maxima);0
0302.29.00;-- Outros;0
0302.3;- Atuns (do gênero Thunnus), bonito-listrado (Euthynnus (Katsuwonus) pelamis), exceto fígados, ovas e sêmen:;
0302.31.00;-- Albacora-branca (Thunnus alalunga);0
0302.32.00;-- Albacora-laje (Thunnus albacares);0
0302.33.00;-- Bonito-listrado;0
0302.34.00;-- Albacora-bandolim (Thunnus obesus);0
0302.35.00;-- Atuns azuis (Thunnus thynnus, Thunnus orientalis);0
0302.36.00;-- Atum azul do Sul (Thunnus maccoyii);0
0302.39.00;-- Outros;0
0302.4;- Arenques (Clupea harengus, Clupea pallasii), anchovas (Engraulis spp.), sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus), cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus), chicharros (Trachurus spp.), bijupirá (Rachycentron canadum) e espadarte (Xiphias gladius), exceto fígados, ovas e sêmen:;
0302.41.00;-- Arenques (Clupea harengus, Clupea pallasii);0
0302.42;-- Anchovas (Engraulis spp.);
0302.42.10;Anchoita (Engraulis anchoita);0
0302.42.90;Outros;0
0302.43.00;-- Sardinhas (Sardina pilchardus, Sardinops spp., Sardinella spp.), anchoveta (Sprattus sprattus);0
0302.44.00;-- Cavalinhas (Scomber scombrus, Scomber australasicus, Scomber japonicus);0
0302.45.00;-- Chicharros (Trachurus spp.);0
0302.46.00;-- Bijupirá (Rachycentron canadum);0
0302.47.00;-- Espadarte (Xiphias gladius);0
0302.5;- Peixes das famílias Bregmacerotidae, Euclichthyidae, Gadidae, Macrouridae, Melanonidae, Merlucciidae, Moridae e Muraenolepididae, exceto fígados, ovas e sêmen:;
0302.51.00;-- Bacalhau-do-atlântico (Gadus mohrua), bacalhau-da-groelândia (Gadus ogac) e bacalhau-do-pacífico (Gadus macrocephalus);0
0302.52.00;-- Haddock ou lubina (Melanogrammus aeglefinus);0
0302.53.00;-- Saithe (Pollachius virens);0
0302.54.00;-- Merluzas e abróteas (Merluccius spp., Urophycis spp.);0
0302.55.00;-- Merluza-do-alasca (Theragra chalcogramma);0
0302.56.00;-- Verdinhos (Micromesistius poutassou, Micromesistius australis);0
0302.59.00;-- Outros;0
0302.7;- Tilápias (Oreochromis spp.), bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.), carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophthalmichthys spp., Cirrhinus spp., Mylopharyngodon piceus), enguias (Anguilla spp.), perca-do-nilo (Lates niloticus) e peixes cabeça-de-serpente (Channa spp.), exceto fígados, ovas e sêmen:;
0302.71.00;-- Tilápias (Oreochromis spp.);0
0302.72;-- Bagres (Pangasius spp., Silurus spp., Clarias spp., Ictalurus spp.);
0302.72.10;Bagre (Ictalurus puntactus);0
0302.72.90;Outros;0
0302.73.00;-- Carpas (Cyprinus carpio, Carassius carassius, Ctenopharyngodon idellus, Hypophtalmichtys spp., Mylopharyngodon piceus);0
0302.74.00;-- Enguias (Anguilla spp.);0
0302.79.00;-- Outros;0
0302.8;- Outros peixes, exceto fígados, ovas e sêmen:;
0302.81.00;-- Cação e outros tubarões;0
0302.82.00;-- Raias (Rajidae);0
0302.83;-- Merluza negra e merluza antártica (Dissostichus spp.);
0302.83.10;Merluza negra (Dissostichus eleginoides);0
0302.83.20;Merluza antártica (Dissostichus mawsoni);0
0302.84.00;-- Robalos (Dicentrarchus spp.);0
0302.85.00;-- Pargos ou sargos (Sparidae);0
0302.89;-- Outros;
0302.89.1;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.) e pargo (Lutjanus purpureus);
0302.89.11;Agulhões (Istiophorus spp., Tetrapturus spp., Makaira spp.);0
0302.89.12;Pargo (Lutjanus purpureus);0
0302.89.2;Cherne-poveiro (Polyprion americanus), garoupas (Acanthistius spp.), esturjão (Acipenser baeri) e peixes-rei (Atherina spp.);
0302.89.21;Cherne-poveiro (Polyprion americanus);0
0302.89.22;Garoupas (Acanthistius spp.);0
0302.89.23;Esturjão (Acipenser baeri);0
0302.89.24;Peixes-rei (Atherina spp.);0
0302.89.3;"Curimatãs (Prochilodus spp.), tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos), surubins (Pseudoplatystoma spp.), traíra (Hoplias malabaricus & H. cf. lacerdae), piaus (Leporinus spp.), tainhas (Mugil spp.), pirarucu (Arapaima gigas) e pescadas (Cynocion spp.)";
0302.89.31;Curimatãs (Prochilodus spp.);0
0302.89.32;"Tilápias (Tilapia spp., Sarotherodon spp., Danakilia spp.; seus híbridos)";0
0302.89.33;Surubins (Pseudoplatystoma spp.);0
0302.89.34;Traíra (Hoplias malabaricus & H. cf. lacerdae);0
0302.89.35;Piaus (Leporinus spp.);0
0302.89.36;Tainhas (Mugil spp.);0
0302.89.37;Pirarucu (Arapaima gigas);0
0302.89.38;Pescadas (Cynocion spp.);0
0302.89.4;Piramutaba (Brachyplatystoma vaillantii), dourada (Brachyplatystoma flavicans), pacu (Piaractus mesopotamicus), tambaqui (Colossoma macropomum) e tambacu (híbrido de tambaqui e pacu);
0302.89.41;Piramutaba (Brachyplatystoma vaillantii);0
0302.89.42;Dourada (Brachyplatystoma flavicans);0
0302.89.43;Pacu (Piaractus mesopotamicus);0
